ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0099,12.3,0,Low,1.6,111,4,452,6,,,4888,42,19.4,1.7,102,2,13.8,1,AA0099,0,47,0,0,0,1,1,0,1974,1,Electricity,Weekly or more,,0,0,,Wood,0
AA0019,29,0,Low,3,300,9,1436,17,59,7,18543,140,153,4,406,6,69,3,AA0019,0,47,1,1,0,1,1,0,1974,1,Electricity,Weekly,,0,0,,Carpet,3
AA0358,48.4,0,Low,1.7,115,3,1263,9,16,3,6905,42,53,2,168,3,70,2,AA0358,0,47,0,0,0,0,1,0,1974,1,Gas,Twice a month,,0,0,n/a,Carpet,0
AA0350,66.8,0,Low,1.9,130,4,996,8,22,3,10534,54,69,2,264,3,33.8,1.6,AA0350,0,47,0,0,0,0,0,1,1974,1,Electricity,Monthly,,0,0,n/a,Carpet,0
AA0337,37.6,0,Low,1.6,82,3,692,6,18,3,6529,40,70,2,202,3,29.2,1.3,AA0337,0,46,1,1,0,0,0,0,1975,1,Electricity,Twice a month,,0,0,n/a,Wood,0
AA0178,60,0,Low,2,392,6,2365,15,64,4,8202,51,328,4,163,3,33,2,AA0178,0,46,0,0,0,0,0,1,1975,1,Gas,Monthly or less,,0,0,,Carpet,0
AA0180,,,,,,,60.3,1.4,,,234,5,,,9.3,1.2,,,AA0180,0,46,1,0,0,0,0,0,1975,1,Electricity,Monthly or less,,0,0,,Wood,1
AA0441,19.2,0,Low,1.8,194,5,1006,10,39,5,5630,48,133,3,244,4,22.1,1.5,AA0441,0,45,0,0,0,0,1,1,1976,1,Electricity,Weekly or more,,0,0,,Carpet,0
AA0195,29.6,0,Low,1.6,124,4,474,6,43,4,15700,77,147,3,476,5,40.3,1.8,AA0195,0,45,1,0,0,1,0,1,1976,1,Wood,Twice a month,,1,0,,Wood,1
AA0194,48,0,Low,3,378,8,652,9,40,5,36653,193,80,3,602,6,43,2,AA0194,0,45,1,0,0,1,0,1,1976,1,Wood,Twice a month,,1,0,,Wood,1
AA0317,28.6,0,Low,1.4,113,3,1022,8,25,3,6316,38,47.6,2,169,3,22.2,1.5,AA0317,0,44,1,0,0,0,1,1,1977,1,Electricity,Twice a month,,0,0,n/a,Carpet; Wood,1
AA0348,65.1,0,Low,1.9,328,5,415,5,55,4,12071,59,152,3,424,5,42.4,1.6,AA0348,0,44,1,0,0,0,1,1,1977,1,Electricity,Monthly,,1,1,electronics; soldering,Carpet; Wood,0
AA0315,8.7,0,Low,1.1,38,2,191,3,,,4218,28,11,1.6,122,2,6.4,0.8,AA0315,0,43,1,0,0,0,0,1,1978,1,Gas,Weekly,,0,0,n/a,Carpet; Wood,0
AA0087,6.4,0,Low,1.2,101,3,438,5,17,3,1041,15,24.4,1.3,55.2,1.6,3.2,0.5,AA0087,0,42,1,0,0,0,0,0,1979,1,Electricity,Weekly or more,,0,0,,Carpet; Linoleum,1
AA0081,22,0,Low,2,134,5,1046,11,68,6,14563,93,73,3,298,4,26.2,1.6,AA0081,0,42,0,0,0,1,1,1,1979,1,Gas,Weekly or more,,0,0,,Wood,0
AA0410,9.2,0,Low,1.1,29,2,376,4,9,3,8097,42,35.4,1.9,328,3,20,1.2,AA0410,0,41,0,0,0,1,0,1,1980,0,Electricity,Weekly,,0,0,n/a,Carpet; Linoleum/vinyl,0
AA0032,9.5,0,Low,1.2,68,3,680,6,17,3,3069,26,31.9,1.7,81,2,13.6,1.2,AA0032,0,41,0,0,0,1,1,0,1980,0,Electricity,Weekly,,0,0,,Linoleum/vinyl,0
AA0088,9.8,0,Low,1.5,37,3,744,8,17,4,7243,51,35,2,172,3,17.4,1.2,AA0088,0,40,1,0,0,0,1,1,1981,0,Gas,Twice a month,,0,0,,Wood,0
AA0439,17.2,0,Low,1.7,99,4,2772,18,72,5,19251,101,84,3,360,4,42.7,1.9,AA0439,0,40,1,0,0,1,0,1,1981,0,Gas,Twice a month,,0,0,,Other,0
AA0154,28,0,Low,2,132,5,1831,16,60,6,19085,121,27,2,179,3,50,3,AA0154,0,40,0,0,0,0,0,1,1981,0,Electricity,Weekly or more,,0,0,,Other,0
